,dfn_seed,curr_inflow_rate,curr_diffusion_coef,curr_porosity,curr_gypsum_rate_constant,curr_calcite_rate_constant,curr_gypsum_surface_area,curr_calcite_surface_area,dfn_p32,dfn_volume,backbone_volume,backbone_p32,final_gypsum,final_calcite,Pe,Da_1_gypsum,Da_2_gypsum,Da_1_calcite,Da_2_calcite,tau,calcite_flush_0_nondim,gypsum_flush_0_nondim,calcite_flush_1_nondim,gypsum_flush_1_nondim,calcite_flush_2_nondim,gypsum_flush_2_nondim,calcite_flush_3_nondim,gypsum_flush_3_nondim,calcite_flush_4_nondim,gypsum_flush_4_nondim,calcite_flush_5_nondim,gypsum_flush_5_nondim,calcite_flush_6_nondim,gypsum_flush_6_nondim,calcite_flush_7_nondim,gypsum_flush_7_nondim,calcite_flush_8_nondim,gypsum_flush_8_nondim,calcite_flush_9_nondim,gypsum_flush_9_nondim,calcite_flush_10_nondim,gypsum_flush_10_nondim,calcite_flush_11_nondim,gypsum_flush_11_nondim,calcite_flush_12_nondim,gypsum_flush_12_nondim
0,1.0,-4.263206403846,-9.567998538522,0.19,-5.009153873647,-8.09338755043,2159.444199218,2.800218465631,1.0065,0.20013,0.2,1.0,0.0,2142.73937,5308948.813135505,5.0944650393921636e-06,27.04625412444135,2.0750510943299082e-09,0.011016340044438296,0.0001167800687321868,,,0.000223124042,2168.93379,0.0208461607,2168.61748,1.17287066,2165.73365,53.7286118,2116.04103,445.19969,1757.60918,1592.45371,666.459541,2154.22319,0.0,2154.12689,0.0,2153.61684,0.0,2152.982,0.0,2147.58796,0.0,2142.73937,0.0
0,1.0,-6.078940986559,-11.15506586262,0.24,-6.528812623889,-5.151658887246,1668.68892473,3.966070868641,1.0065,0.20013,0.2,1.0,0.0,2378.01993,2482467.8840235425,1.2724246078495551e-05,31.587532238277706,0.00014995110882838858,372.24881184019375,0.007640175051554574,0.00699861945,2035.07241,0.0898882613,2034.9898,0.825624371,2034.25481,6.65217749,2029.33888,106.574104,1945.54408,1127.75727,1059.38734,2378.13718,0.0,2378.06352,0.0,2378.01993,0.0,2378.01993,0.0,2378.01993,0.0,2378.01993,0.0,2378.01993,0.0
0,1.0,-1.947107756597,-10.47194814711,0.33,-3.467809938308,-8.490219308359,595.2731219413,3.66157553769,1.0065,0.20013,0.2,1.0,0.0,0.0,5073369047.659049,1.486292250070511e-06,7540.509097283252,6.980053134528704e-12,0.03541238552373345,5.639882801122981e-07,,,,,,,0.0,0.0,0.873855735,1761.3707,8.34962548,1553.45917,32.7700124,125.834669,32.9582278,0.0,32.9527126,0.0,32.9306517,0.0,32.9012448,0.0,32.7250256,0.0,32.4907899,0.0
0,1.0,-2.300032194899,-9.454361808873,0.33,-4.681341958785,-4.371428690814,2421.122444695,2.873244666594,1.0065,0.20013,0.2,1.0,0.0,1327.36416,216165149.9181272,2.0487861570695797e-07,44.28761667931294,2.068110713831356e-07,44.705346250264014,1.2711433142665375e-06,,,,,,,4.66056339,1789.36565,73.1252412,1719.95246,1237.3964,767.283404,2059.47877,0.0,2059.43381,0.0,2059.3429,0.0,2058.79737,0.0,2058.07276,0.0,2054.02202,0.0,2049.21011,0.0
0,1.0,-7.347557190307,-6.217962845352,0.44,-7.647239451859,-7.341719891346,1674.882942328,2.391359684148,1.0065,0.20013,0.2,1.0,1180.95936,689.366694,0.8431852153555985,3.296574311231015e-05,2.7796227205510573e-05,3.294172337810398e-05,2.7775974120751162e-05,0.14181413260649817,0.00273173183,1499.52781,0.054066562,1499.47521,0.661344204,1498.86504,11.2939362,1489.21061,97.9565784,1442.4183,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936,689.366694,1180.95936
0,1.0,-4.177099942904,-7.601309341383,0.11,-6.435657884875,-8.11858844799,2667.30891944,3.632504231408,1.0065,0.20013,0.2,1.0,0.0,2245.16952,120722.08224600594,9.059979151393608e-08,0.010937395482616383,9.297378691981755e-10,0.00011223989151256847,9.577722846635785e-05,,,0.00126019137,2383.17019,0.162425394,2382.79775,5.38894371,2377.08589,59.9571297,2320.88768,981.697179,1412.69301,2260.40777,0.0,2260.34414,0.0,2260.21681,0.0,2259.54245,0.0,2259.12276,0.0,2253.25417,0.0,2245.7085,0.0
0,1.0,-5.220654748779,-11.24101737055,0.16,-3.047488859108,-4.475392576123,3072.796332747,2.455021099732,1.0065,0.20013,0.2,1.0,0.0,3589.19502,32750100.982990287,0.0035610520980333803,116624.81581628263,6.574133149364821e-05,2153.0352451732183,0.0010588076524179434,0.00783338494,2249.29121,0.0901525265,2249.23919,0.752627756,2248.916,15.1283448,2383.1331,131.090637,3176.71763,808.186139,2634.19421,3590.48399,0.0,3590.42095,0.0,3590.26888,0.0,3589.85127,0.0,3589.19502,0.0,3589.19502,0.0,3589.19502,0.0
0,1.0,-1.424489242622,-7.139795550017,0.38,-3.326965180463,-6.553810252441,1639.258835393,3.907556415482,1.0065,0.20013,0.2,1.0,0.0,0.0,6831132.592939513,7.105589496886485e-07,4.853922400422994,2.0841017934165497e-10,0.0014236775688011485,1.6929789774702806e-07,,,,,,,,,36.8482954,1601.10906,400.92212,1096.77668,905.692733,0.0,905.640488,0.0,905.570828,0.0,905.152869,0.0,904.59559,0.0,901.255216,0.0,896.809222,0.0
0,1.0,-0.9682662239012,-9.27498097035,0.14,-7.780006384656,-6.708259141036,2848.290756184,3.574127082135,1.065,0.020130000000000002,0.02,1.0,0.0,0.0,7236969046.717763,3.226118607084808e-12,0.02334732050051298,1.881877973442315e-11,0.13619092643501987,5.9560745647685185e-09,,,,,,,,,,,0.0,0.0,0.000506768349,230.272056,0.00053354337,230.257059,0.000606528866,230.227064,0.000779261733,230.167075,0.00114941419,230.047098,0.00649671195,228.367406,0.0126238232,226.447759
0,1.0,-7.929887351127,-6.173695738086,0.13,-7.038793472609,-6.157913256905,2974.782057888,3.714813691791,1.0065,0.20013,0.2,1.0,2180.58206,184.36468,0.6742718658057391,0.0001511226936387061,0.00010189778060535945,0.0005680332879696468,0.0003830088649190625,0.5420628870133626,0.0118284659,2329.61777,0.0976553961,2329.5359,0.799603951,2328.87059,14.5111242,2331.89566,104.036313,2255.27375,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206,184.36468,2180.58206
