,dfn_seed,curr_inflow_rate,curr_diffusion_coef,curr_porosity,curr_gypsum_rate_constant,curr_calcite_rate_constant,curr_gypsum_surface_area,curr_calcite_surface_area,dfn_p32,dfn_volume,backbone_volume,backbone_p32,final_gypsum,final_calcite,Pe,Da_1_gypsum,Da_2_gypsum,Da_1_calcite,Da_2_calcite,tau,max_calcite,min_gypsum
0,1018077.0,-6.392105056097,-7.354644197561,0.21,-6.425783929857,-8.280376864949,1336.081267422,3.910777902396,0.7152647200000001,0.071526472,0.06785509199999999,0.6785509200000001,12.7879015,795.336447,43.68374333486509,0.00014514526760061268,0.006340488616135476,1.0031683708797109e-06,4.382214963516405e-05,0.00561593390248779,795.336447,12.7879015
0,43430.0,-2.974215513193,-11.19989629423,0.43,-6.392221081759,-5.950560407785,1298.674243883,4.1026336659,0.71709603,0.071709603,0.06877366,0.6877365999999999,0.000466080926,18.1407463,391032023.62025124,1.2266632278330497e-07,47.96646042801067,1.6770650403181756e-07,65.57861364583944,2.1510126212669964e-06,541.916052,0.000428807633
0,195940.0,-8.805552907093,-11.793775492,0.49,-7.427910775762,-7.6845693308,2199.893290833,3.759634801678,0.68783292,0.068783292,0.067183292,0.6718329200000002,250.937084,234.860933,1986.216131908815,0.00873173749294822,17.34311786808679,0.0023911454870814467,4.74933174018213,1.3992199604861482,234.860933,250.937084
0,736164.0,-4.592656553148,-7.970063227982,0.36,-7.29435307589,-7.232371379925,4082.004831117,2.219887606817,0.7278521600000001,0.07278521600000001,0.06947605300000001,0.69476053,1.64045636,493.449161,6623.753683974229,5.344024462382523e-07,0.003539750171995463,3.047993375981775e-07,0.0020189157352888325,9.06880065551879e-05,534.321247,1.64045636
0,22042.0,-3.80035232665,-10.99551025665,0.2,-5.063389590921,-4.602901026915,1024.435073363,4.084964918607,0.6754438900000002,0.06754438900000001,0.06754438900000001,0.67544389,0.0,384.998226,78366045.92266832,8.15183143796475e-06,638.826796821397,1.1638784854978646e-05,912.0855484293131,1.3576622151716504e-05,716.637368,0.0
0,4264.0,-8.762133684209,-6.382953673174,0.42,-3.555977854846,-7.871443326507,2881.862785883,4.12555560716,0.7192994500000001,0.071929945,0.07074820500000001,0.70748205,210.39971,279.033088,0.009944219421950224,50.4275163887368,0.5014622878735897,0.0012060518882339153,1.1993244610855441e-05,1.3240169340982901,279.033088,210.39971
0,32542.0,-3.234363543258,-11.42938634301,0.09,-7.288800335533,-7.140412335869,3340.439935814,1.978665650096,0.7193825300000001,0.07193825300000002,0.06650694499999998,0.6650694500000001,0.420557584,105.548321,1740925915.714628,5.930184107444438e-09,10.32401119760904,4.1268630940150485e-09,7.184562910977051,3.92801879771847e-06,147.217481,0.420557584
0,14552.0,-5.194199885809,-10.47461868277,0.28,-7.166801203788,-4.811484086266,2949.08183888,3.649456674919,0.70764914,0.07076491400000001,0.068844691,0.68844691,1.91137038,683.837875,681178.2392025227,2.2275074888418664e-06,1.5173296290597353,0.00024963195373818846,170.04385469606484,0.00035226378430035417,685.593547,1.91137038
0,4142.0,-4.668978485245,-8.963591100035,0.27,-7.700935034304,-6.985843345628,675.4136707866,4.184930140164,0.73897612,0.073897612,0.073077441,0.73077441,1.74461557,717.079121,72987.56090018255,1.8735689248087932e-07,0.013674722600017133,4.80756592833207e-07,0.03508925109757797,0.000109763770466323,751.980203,1.74461557
0,12760.0,-7.279774702254,-7.871391476173,0.08,-6.310678204321,-8.296264678702,2919.692115775,3.311747929302,0.72406654,0.07240665400000001,0.072406654,0.72406654,40.4595818,942.165083,48.81202071727084,0.000556479210746148,0.0271628747636715,2.8446337303529654e-06,0.00013885232057903637,0.043893812912001284,942.165083,40.4595818
