"","curr_inflow_rate","curr_diffusion_coef","curr_porosity","curr_gypsum_rate_constant","curr_calcite_rate_constant","curr_gypsum_surface_area","curr_calcite_surface_area","dfn_volume","output_var","sobol_type","boot_num"
"1",0.726044961071244,0.0351412029677036,0.100858183631462,0.0242898776112977,0.0135075750359557,0.00548797035259869,0.170713195855732,0.174009416485341,"calcite_flush_1","FOmean",1941
"2",1.59546563597536,0.141601237895867,0.346995743098583,0.391317139173141,0.160043087753917,0.287628794266326,0.589511631917079,0.38886513336262,"calcite_flush_1","TEmean",1941
"3",1,1,1,1,1,1,1,1,"calcite_flush_1","FOsd2",1941
"4",4.36686487894349e-27,2.76708309733578e-27,1.77545968958173e-27,1.91473205759671e-27,2.97323136476722e-27,2.6205206570788e-27,2.91965877598827e-27,2.70019914205984e-27,"calcite_flush_1","TEsd2",1941
